Sex_mother ,time_interval,F1_Males,F1_Females,F1_Hermaphrodites,
Female,64h-72h,0,0,19,
Female,64h-72h,0,0,0,
Female,64h-72h,0,0,18,
Female,64h-72h,0,0,14,
Female,64h-72h,0,0,35,
Female,64h-72h,0,0,14,
Female,64h-72h,2,0,22,
Female,64h-72h,0,0,37,
Female,64h-72h,1,0,39,
Female,64h-72h,0,0,33,
Female,64h-72h,0,0,5,
Female,64h-72h,1,0,16,
Female,64h-72h,0,0,8,
Female,64h-72h,0,0,7,
Female,64h-72h,2,0,45,
Female,64h-72h,1,0,37,
Female,64h-72h,0,0,21,
Female,72h-80h,0,0,0,
Female,72h-80h,0,0,8,
Female,72h-80h,0,0,11,
Female,72h-80h,0,0,0,
Female,72h-80h,0,0,8,
Female,72h-80h,0,0,2,
Female,72h-80h,0,0,25,
Female,72h-80h,0,0,12,
Female,72h-80h,0,0,21,
Female,72h-80h,1,0,31,
Female,72h-80h,1,0,23,
Female,72h-80h,0,0,15,
Female,72h-80h,0,0,3,
Female,72h-80h,0,0,7,
Female,72h-80h,0,0,6,
Female,72h-80h,0,0,8,
Female,72h-80h,0,0,31,
Female,72h-80h,0,0,25,
Female,72h-80h,0,0,16,
Female,80h-88h,0,0,4,
Female,80h-88h,0,0,2,
Female,80h-88h,0,0,8,
Female,80h-88h,0,0,0,
Female,80h-88h,0,0,4,
Female,80h-88h,3,0,14,
Female,80h-88h,0,0,18,
Female,80h-88h,0,0,4,
Female,80h-88h,0,0,28,
Female,80h-88h,0,0,33,
Female,80h-88h,0,0,10,
Female,80h-88h,0,0,9,
Female,80h-88h,0,0,1,
Female,80h-88h,0,0,2,
Female,80h-88h,0,0,2,
Female,80h-88h,0,0,5,
Female,80h-88h,0,0,13,
Female,80h-88h,0,0,13,
Female,80h-88h,0,0,10,
Female,88h-96h,0,0,13,
Female,88h-96h,0,0,1,
Female,88h-96h,0,0,7,
Female,88h-96h,0,0,0,
Female,88h-96h,0,0,10,
Female,88h-96h,0,0,16,
Female,88h-96h,0,0,11,
Female,88h-96h,0,0,10,
Female,88h-96h,1,0,18,
Female,88h-96h,0,0,29,
Female,88h-96h,0,0,12,
Female,88h-96h,1,0,7,
Female,88h-96h,0,0,0,
Female,88h-96h,0,0,4,
Female,88h-96h,0,0,1,
Female,88h-96h,0,0,1,
Female,88h-96h,0,0,15,
Female,88h-96h,0,0,20,
Female,88h-96h,0,0,1,
Female,96h-104h,0,0,0,
Female,96h-104h,0,0,1,
Female,96h-104h,0,0,3,
Female,96h-104h,0,0,0,
Female,96h-104h,0,0,4,
Female,96h-104h,1,0,12,
Female,96h-104h,0,0,12,
Female,96h-104h,0,0,0,
Female,96h-104h,0,0,10,
Female,96h-104h,1,0,14,
Female,96h-104h,0,0,3,
Female,96h-104h,0,0,4,
Female,96h-104h,0,0,0,
Female,96h-104h,0,0,3,
Female,96h-104h,0,0,0,
Female,96h-104h,0,0,3,
Female,96h-104h,0,0,4,
Female,96h-104h,1,0,10,
Female,96h-104h,0,0,0,
Female,104h-112h,0,0,7,
Female,104h-112h,0,0,1,
Female,104h-112h,0,0,0,
Female,104h-112h,0,0,0,
Female,104h-112h,0,0,4,
Female,104h-112h,0,0,7,
Female,104h-112h,0,0,3,
Female,104h-112h,0,0,1,
Female,104h-112h,0,0,13,
Female,104h-112h,0,0,13,
